Row,FL,X,Y,Z,X1,Y1,Z1
603,a,-99.7,96.5,65,-109.76,90.65,68.58
605,a,-97.6,98.8,63.2,-91.7,100.59,76.15
607,a,-84.2,68.5,49.1,-91.37,53.15,46.52
609,a,-98.3,82.2,54.4,-102.06,79.06,56.95
611,a,-96.9,79.1,35.5,-97.45,70.79,33.12
613,a,-100.5,83.9,36.1,-106.53,80.19,33.84
615,a,-97.3,99.1,39.2,-103.63,91.16,46.01
617,a,-91.3,98.4,31.7,-75.61,86.31,27.77
619,a,-93.1,100.1,31.4,-89.42,100.92,29.34
621,a,-98.2,99.9,36.7,-102.7,99.72,40.62
623,a,-106.7,90.5,43.2,-103.91,97.12,51.52
625,a,-112.2,89.7,40.9,-117.28,97.44,36.13
627,a,-104.8,84,25.4,-106.96,71.41,20.58
629,a,-109.7,95.2,37.6,-111.91,90.31,45.28
631,a,-111.5,85.4,38.6,-110.08,92.36,42.47
633,a,-101.8,102.6,26.6,-96.22,104.34,26.74
635,a,-103.8,104.2,27.6,-108.57,107.78,29.98
637,a,-95.4,103.1,25.6,-86.48,90.15,18.81
639,a,-114.9,96.6,36.6,-125.11,92.77,39.67
641,a,-115.3,99.2,33.8,-118.4,98.51,35.83
643,a,-123.8,94.4,29.7,-128.31,87.56,25.11
645,a,-117.6,96.8,35.3,-121.01,99.03,40.03
647,a,-113.6,108.8,29.2,-114.81,107.33,21.87
649,a,-116.5,109,32.2,-115.28,113.88,38.94
651,a,-118.4,107,32.6,-131.88,103.91,24.15
653,a,-120.2,112,31.6,-131.36,110.18,34.34
655,a,-107.2,89.2,23.5,-107.59,74.92,12.38
657,a,-108,106.9,25.7,-106.85,107.09,29.52
659,a,-112,108,21.6,-123.05,104.02,18.36
661,a,-104.2,87.8,10.7,-98.04,85.5,5.22
663,a,-110.6,99.3,22.4,-114.31,105.85,26.69
665,a,-114.7,98.4,12.5,-120.3,87.22,5.35
667,a,-104.1,108.6,10.2,-92.26,110.61,12.88
669,a,-115.2,104,14.7,-126.02,95.7,2.59
671,a,-109.2,105.6,16.2,-108.96,109.93,17.24
673,a,-107.4,98.4,11.1,-101.22,92.54,-2.38
675,a,-96.6,65.3,44.2,-99.29,54.24,41.57
677,a,-102.7,60.6,49.2,-100.61,48.54,58.09
679,a,-106.7,56.9,47.6,-117.08,39.14,41.73
681,a,-102.5,58.7,53.4,-107.6,48.8,53.29
683,a,-110.4,82.7,45.9,-110.09,83.92,36.89
685,a,-114.3,81.7,46.3,-115.11,81.74,52.37
687,a,-114.4,78.8,52.1,-121.01,52.46,68.25
689,a,-114.2,64.9,43.3,-111.56,56.51,36.2
691,a,-116,63.3,42.9,-121.89,62.07,39.74
