Row,FL,X,Y,Z,X1,Y1,Z1
623,b,45.4,30.8,56.5,43,35.3,59.46
625,b,50.3,28,46.7,54.67,24.24,39.08
627,b,52.8,28.8,54.2,61.95,23.18,50.96
629,b,54.3,34.8,51.7,58.41,34.19,41.59
631,b,54.9,34.2,55.6,55.98,38.41,60.87
633,b,56.3,29.9,50.2,63.77,21.97,40.51
635,b,58.3,28.4,54.5,75.89,20.16,55.53
637,b,36.2,38.6,56,43.77,36.3,50.24
639,b,31,45.6,57.9,21.25,52.45,52.8
641,b,32.9,39.5,66.6,33.61,31.9,79.03
643,b,40.7,39.9,62.7,49.03,30.64,65.48
645,b,43.7,47.5,57.8,56.44,45.09,49.52
647,b,36.9,44.2,71.9,36.11,36.52,85.11
649,b,43.8,43.1,68.9,52.63,28.15,76.66
651,b,46.3,47.7,61.2,62.52,36.18,57.4
653,b,34.3,52.7,69.4,20.36,38.93,80.37
655,b,42.7,48.4,73.7,48.02,34.77,84.75
657,b,39,54.6,64.1,30.91,58.71,52.6
659,b,45,49.3,66.6,61.16,39.9,69.31
661,b,38.7,54.2,70.2,30.5,53.11,82.08
663,b,40.2,55.6,67.2,38.58,61.71,59.63
665,b,49,54.8,73.1,60.65,48.75,75.6
667,b,37.4,56.8,78.4,28.66,52.85,85.98
669,b,36.8,59.8,82.7,37.61,50.55,93.18
671,b,33.5,58.6,77.9,26.6,50.09,76.95
673,b,38.8,64.5,81.6,41.44,66.7,86.2
675,b,32.8,61.4,82.8,26.77,49.76,87.71
677,b,35.3,61.9,84.4,31.21,50.79,94.82
679,b,50.9,61.9,68.2,63.38,59.92,62.04
681,b,48.4,69.9,63,48.38,66.55,49.68
683,b,53.8,68.2,66.2,61.76,60.59,59.02
685,b,50.9,72.2,63.8,58.02,74.39,52.13
687,b,51.4,70.5,66.7,62.58,72.47,70.07
689,b,48.3,70.2,70.3,47.99,70.59,77.33
691,b,46,64.6,82.5,52.07,58.85,95.96
693,b,39.6,67.8,77.9,23.79,64.43,78.42
695,b,53.2,68.7,79,70.76,62.44,83.81
697,b,48.3,72.1,82.7,49.52,61.19,96.61
699,b,49.2,78,75.3,48.25,90.29,60.57
701,b,44.9,75.3,81,35.45,60.16,86.81
703,b,51.4,80.1,77.9,70.04,78.86,78.12
705,b,48.3,79,81.7,46.55,82.13,94.18
707,b,-26.9,26.3,-25,-32.05,35.37,-26.3
709,b,-28.8,25.2,-29.5,-29.32,24.85,-37.52
711,b,-33.7,25.9,-28.8,-39.3,25.91,-27.42
713,b,-28,25.2,-30.7,-30.44,25.96,-40.85
715,b,-36.6,25.8,-30.7,-44.76,20.61,-31.15
717,b,-34,26.4,-29.5,-41.92,34.69,-29.58
719,b,-33.4,25,-32.3,-38.25,16.74,-37.83
721,b,-42.2,-7.8,-49,-40.6,-19.54,-46.54
723,b,-31.7,-9.1,-52.7,-28.73,-17.77,-59.64
